
📈 Progress:
2025-05-04 12:39:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 106178.364 GB | Δt:  600 s | Speed:  329.450 MB/s
2025-05-04 12:49:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 106376.848 GB | Δt:  600 s | Speed:  338.747 MB/s
2025-05-04 12:59:57 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 106620.807 GB | Δt:  601 s | Speed:  415.664 MB/s
2025-05-04 13:09:57 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 106869.913 GB | Δt:  600 s | Speed:  425.140 MB/s
2025-05-04 13:19:57 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 107131.737 GB | Δt:  600 s | Speed:  446.847 MB/s
2025-05-04 13:29:57 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 107401.901 GB | Δt:  600 s | Speed:  461.080 MB/s
2025-05-04 13:39:57 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 107675.925 GB | Δt:  600 s | Speed:  467.667 MB/s
2025-05-04 13:49:57 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 107940.846 GB | Δt:  600 s | Speed:  452.133 MB/s

📊 Job Summary:
   📅 Start: 2025-05-03 14:39:41
   📅 End:   2025-05-04 13:49:57
   ⏱️  Total time: 83416.00 sec (1390.3 min)
   💾 Total data: 107940.85 GB
   🧮 Raw bytes:  115900601296662
   🚀 Avg throughput: 1325.063 MB/s
